f1,f2,f3,f4,f5,ax,ay,az,posture,label
1091.2,270.6,498.3,3365.4,242.0,-1357.2,-2077.2,-15644.8,A,
1091.5,269.7,498.1,3365.5,242.2,-1361.2,-2094.4,-15708.8,A,
1092.6,269.7,497.8,3365.3,241.5,-1401.6,-2085.6,-15777.2,A,
1093.3,270.5,498.0,3365.4,241.2,-1450.0,-2032.0,-15859.2,A,
1094.3,269.9,497.1,3365.6,241.2,-1523.2,-1960.4,-15897.6,A,
1101.0,270.2,496.9,3364.6,241.1,-1577.6,-1912.4,-15933.2,A,
1101.0,270.0,496.7,3363.8,241.6,-1637.2,-1914.0,-15903.2,A,
1103.4,269.3,496.7,3363.7,241.5,-1694.0,-1872.8,-15938.0,A,
1102.6,269.8,494.9,3363.7,242.0,-1684.8,-1838.4,-15923.2,A,
1102.8,268.2,495.2,3363.3,240.3,-1712.0,-1774.4,-15830.4,A,
1103.6,268.5,495.2,3362.0,241.0,-1704.4,-1717.6,-15748.8,A,
1103.6,269.6,495.5,3361.3,240.7,-1705.2,-1684.4,-15686.0,A,
1103.9,269.6,495.5,3361.2,241.0,-1705.2,-1578.8,-15647.6,A,
1103.5,268.8,495.9,3361.9,241.0,-1685.2,-1533.6,-15659.2,A,
1100.2,269.4,496.0,3361.6,240.9,-1658.8,-1458.0,-15655.2,A,
1093.4,269.7,495.8,3361.4,240.8,-1647.6,-1411.6,-15659.6,A,
1095.3,269.6,496.1,3362.2,239.5,-1620.0,-1270.4,-15672.8,A,
1096.2,268.9,496.0,3362.3,239.7,-1646.0,-1209.2,-15610.0,A,
1096.6,268.4,497.6,3362.2,238.8,-1676.4,-1170.4,-15617.2,A,
1096.2,269.4,497.1,3362.3,237.6,-1665.2,-1116.0,-15670.8,A,
1096.3,269.3,497.4,3363.4,236.3,-1678.8,-1138.4,-15664.0,A,
1095.8,269.0,497.2,3363.8,236.4,-1624.8,-1160.4,-15700.8,A,
1094.5,268.8,497.4,3363.2,236.4,-1595.2,-1252.8,-15728.0,A,
1093.3,269.1,497.0,3362.3,236.5,-1606.0,-1319.6,-15713.2,A,
1096.5,265.4,496.8,3362.8,236.3,-1691.2,-1472.0,-15715.2,A,
1097.3,265.5,496.2,3362.6,236.0,-1742.0,-1554.0,-15723.2,A,
1095.9,262.6,497.4,3362.3,236.6,-1792.0,-1642.8,-15739.2,A,
1094.6,263.3,497.4,3360.7,233.8,-1802.4,-1669.2,-15737.2,A,
1094.5,263.6,497.8,3360.7,234.7,-1840.0,-1766.0,-15741.2,A,
1094.5,264.6,498.1,3361.2,234.8,-1878.4,-1819.6,-15778.8,A,
1094.4,264.4,497.8,3366.2,237.9,-1925.2,-1902.8,-15840.0,A,
1094.2,264.7,498.3,3367.5,237.7,-2006.0,-1972.0,-15845.6,A,
1094.2,265.2,498.2,3369.1,238.4,-2079.6,-2058.8,-15798.0,A,
1096.0,263.8,498.3,3369.4,238.2,-2119.2,-2132.4,-15728.8,A,
1095.2,268.2,498.3,3369.5,238.5,-2083.6,-2198.4,-15695.6,A,
1092.5,268.4,499.0,3370.2,237.9,-2052.8,-2309.6,-15706.0,A,
